edge_id,source,target,current_status,proposed_status,evidence_stream,species,tissue_stage,evidence_type,citation_short,doi,what_the_reference_supports,what_it_does_not_support,transfer_caveat,confidence
H001,Gravistimulation,Amyloplast_Displacement,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,shoot gravitropism / gravity-sensing tissues,primary_paper,Morita et al. 2002,10.1105/tpc.010216,"Supports Arabidopsis shoot gravity-sensing biology involving statolith/amyloplast-related sensing after reorientation.","Does not show Senecio lautus; does not test 8-hour Senecio family-level bending trajectories.","Use as Arabidopsis mechanism prior only until Senecio evidence is found.",medium
H002,Endodermal_Statocyte_Gravity_Sensing,Amyloplast_Displacement,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,shoot endodermis / statocyte context,primary_paper,Morita et al. 2002,10.1105/tpc.010216,"Supports the endodermal/statocyte tissue context for Arabidopsis shoot gravity sensing.","This is a context relation rather than a simple signed FlashP causal edge; it does not establish Senecio-specific tissue mechanisms.","Use as tissue-context prior only.",medium
H003,Amyloplast_Displacement,LAZY_LZY_Module,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,statocytes / gravity signalling,primary_paper,Taniguchi et al. 2017,10.1105/tpc.16.00575,"Supports a close mechanistic refinement in which LZY-family genes act in gravity signalling downstream of gravity perception in Arabidopsis.","Does not prove a direct physical edge from amyloplast displacement to every LZY module component; does not show Senecio transfer.","Treat as Arabidopsis close-mechanism prior.",medium
H004,LAZY_LZY_Module,PIN_Auxin_Redistribution,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,shoot/root gravity signalling and auxin flow,primary_paper,Taniguchi et al. 2017; Nakamura et al. 2011,10.1105/tpc.16.00575,"Supports LZY/LAZY involvement in gravity signalling linked to auxin transport redistribution; Nakamura et al. 2011 is an additional seed support for LAZY1-like function.","Does not show Senecio; the exact PIN target and tissue context may need refinement.","Use as Arabidopsis prior and refine node names later.",medium
H005,PIN_Auxin_Redistribution,Auxin_Asymmetry,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,hypocotyl gravitropism,primary_paper,Rakusova et al. 2011,10.1111/j.1365-313X.2011.04636.x,"Supports PIN-dependent auxin redistribution/asymmetry during Arabidopsis gravitropic response.","Hypocotyl evidence is not the same as Senecio shoot-family evidence; may not capture 8-hour family differences.","Use as conserved auxin-transport prior only.",high
H006,Auxin_Asymmetry,Differential_Cell_Expansion,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,hypocotyl gravitropism,primary_paper,Rakusova et al. 2011,10.1111/j.1365-313X.2011.04636.x,"Supports the link between auxin asymmetry/response and differential growth in Arabidopsis gravitropic bending.","Does not directly measure Senecio shoots or family-level agravitropism.","Use as Arabidopsis growth-response prior.",medium
H007,Differential_Cell_Expansion,Curvature,hypothesis,primary-paper-supported,arabidopsis_mechanistic_prior,Arabidopsis thaliana,hypocotyl gravitropic curvature,primary_paper,Rakusova et al. 2011,10.1111/j.1365-313X.2011.04636.x,"Supports differential growth leading to curvature in an Arabidopsis gravitropic-response context.","Does not establish Senecio-specific developmental or evolutionary differences.","Use as Arabidopsis organ-bending prior.",medium
H008,Curvature,Shoot_Gravitropic_Bending_Over_Time,hypothesis,hypothesis,none,unknown,shoot bending time course,missing_direct_evidence,,,"This edge is conceptually close to phenotype definition but still needs an explicit measurement reference for the target experiment.","No direct DOI-backed support has been entered for dark 8-hour Senecio bending trajectories.","Needs direct phenotype-measurement evidence before support upgrade.",low
H009,Family_Genotype_Effects,LAZY_LZY_Module,hypothesis,hypothesis,none,Senecio lautus desired,family/genotype comparison,missing_direct_evidence,,,"No direct evidence has been entered that Senecio family/genotype differences alter LZY-module behaviour.","Arabidopsis mechanism papers do not establish Senecio family-level genetic modulation.","Keep as hypothesis until Senecio comparative evidence is found.",low
H010,Family_Genotype_Effects,PIN_Auxin_Redistribution,hypothesis,hypothesis,none,Senecio lautus desired,family/genotype comparison,missing_direct_evidence,,,"No direct evidence has been entered that Senecio family/genotype differences alter PIN-mediated auxin redistribution.","Arabidopsis mechanism papers do not establish Senecio family-level transport differences.","Keep as hypothesis until Senecio comparative evidence is found.",low
H011,Family_Genotype_Effects,Differential_Cell_Expansion,hypothesis,hypothesis,none,Senecio lautus desired,family/genotype comparison,missing_direct_evidence,,,"No direct evidence has been entered that Senecio family/genotype differences alter differential cell expansion during shoot bending.","Arabidopsis mechanism papers do not establish Senecio family-level growth-response differences.","Keep as hypothesis until Senecio comparative evidence is found.",low
H012,Family_Genotype_Effects,Shoot_Gravitropic_Bending_Over_Time,hypothesis,hypothesis,none,Senecio lautus desired,dark rotation / 8-hour bending,missing_direct_evidence,,,"No direct Senecio DOI-backed evidence has been entered for family/genotype effects on 8-hour shoot gravitropic bending.","Arabidopsis mechanism papers cannot support this comparative evolutionary edge.","This is a priority target for Senecio-specific literature search.",low
H013,Shoot_Gravitropic_Bending_Over_Time,Gravitropic_vs_Agravitropic_Families,hypothesis,hypothesis,none,Senecio lautus desired,family classification,missing_direct_evidence,,,"No direct DOI-backed evidence has been entered defining gravitropic versus agravitropic Senecio families from bending trajectories.","Arabidopsis mechanism papers do not support Senecio family classification.","Needs direct Senecio trait-classification evidence.",low
